Nev,PartnerId,CimId,IsSzekhely,IsSzamlazasiCim,IsSzallitasiCim,Bankszamlaszam,KulsoId,IsIrasvedett,IsFizetesHitelSzamla,Id,FId,Dt,EFId,EDt,Verzio,D,Partner.Nev,Partner.RovidNev,Partner.Kod,Partner.KAdoalanyTipus,Partner.Adoszam,Partner.Cegjegyzekszam,Partner.FelirAzonosito,Partner.IsVevo,Partner.IsSzallito,Partner.IsKulfoldi,Partner.IsEUTag,Partner.AlapertelmezettFizetesiModId,Partner.IsTiltva,Partner.KulsoId,Partner.KulsoEDt,Partner.IsIrasvedett,Partner.ListPartnerCsoportId,Partner.KAdoalanyTipusNev,Partner.Id,Partner.FId,Partner.Dt,Partner.EFId,Partner.EDt,Partner.Verzio,Partner.D,Partner.Megjegyzes,Cim.TelepulesId,Cim.KozteruletNev,Cim.KozteruletJellegId,Cim.Hazszam,Cim.Epulet,Cim.Lepcsohaz,Cim.Szint,Cim.Ajto,Cim.Hrsz,Cim.D,Cim.Telepules.Iranyitoszam,Cim.Telepules.Nev,Cim.Telepules.OrszagId,Cim.Telepules.Id,Cim.Telepules.FId,Cim.Telepules.Dt,Cim.Telepules.EFId,Cim.Telepules.EDt,Cim.Telepules.Verzio,Cim.Telepules.D,Cim.KozteruletJelleg.Nev,Cim.KozteruletJelleg.MegjelenitesiSorrend,Cim.KozteruletJelleg.Id,Cim.KozteruletJelleg.FId,Cim.KozteruletJelleg.Dt,Cim.KozteruletJelleg.EFId,Cim.KozteruletJelleg.EDt,Cim.KozteruletJelleg.Verzio,Cim.KozteruletJelleg.D,Cim.FormazottCim,Cim.Id,Cim.FId,Cim.Dt,Cim.Verzio,KulsoEDt,Megjegyzes,KapcsolattartoNev,KapcsolattartoTelefonszam,KapcsolattartoEmail,KapcsolattartoFax,JovedekiEngedelyszam,MukodesiEngedelyszam,Partner.AlapertelmezettFizetesiHataridoId,Partner.EgyeniVallalkozoNyilvantartasiSzam
Bio Fair Trade Kft,1021823,1237083,True,True,True,11702036-29906008,1006496,False,False,1237084,1019477,2022-09-15T18:12:40,1019477,2025-04-01T13:25:57.889173,36374211,0,Bio Fair Trade Kft,Bio Fair Trade Kft,1000012,0,14551523-2-41,01-09-909025,AA0250490,False,True,False,False,1005833.0,False,1033669,2022-12-23T08:29:18.251984,False,[],Cég,1021823,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:13.795296,35457537,0,S01150,1001445,Lövőház,1005743,20,A,,,,,0,1024,Budapest,1001210,1001445,0,2022-09-13T14:59:30,0,2022-09-13T14:59:30,1002243,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1024 Budapest, Lövőház utca 20 A",1237083,1019477,2022-09-15T18:12:40,33451784,,,,,,,,,,
BiOrganik Online Kft.,1021824,1237085,True,True,True,11600006-00000000-39552851,1006708,False,False,1237086,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:58.118365,36374212,0,BiOrganik Online Kft.,BiOrganik Online Kft.,1000013,0,14801055-2-43,01-09-920488,AA0144931,False,True,False,False,1005833.0,False,1033673,2022-12-23T08:29:14.615784,False,[],Cég,1021824,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:14.020901,35457547,0,S03426,1001505,Gubacsi,1005741,47,,,,,,0,1097,Budapest,1001210,1001505,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002303,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1097 Budapest, Gubacsi út 47",1237085,1019477,2022-09-15T18:12:41,33451785,,,,,,,,,,
Bivalyos Tanya Kft.,1021825,1237087,True,True,True,10402805-50526649-87741006,1006230,False,False,1237088,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:58.375824,36374213,0,Bivalyos Tanya Kft.,Bivalyos Tanya Kft.,1000014,0,24774550-2-06,06-09-020711,AA2741420,False,True,False,False,1005833.0,False,1033681,2022-12-23T08:29:27.318798,False,[],Cég,1021825,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:14.28648,35457680,0,S03039,1003578,Bartók Béla,1005743,31,,,,,,0,6783,Ásotthalom,1001210,1003578,0,2022-09-13T14:59:34,0,2022-09-13T14:59:34,1004376,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"6783 Ásotthalom, Bartók Béla utca 31",1237087,1019477,2022-09-15T18:12:41,33451786,,,,,,,,,,
Bolyhos Pálinka Kft.,1021826,1237089,True,True,True,11745004-24510912,1006175,False,False,1237090,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:58.638292,36374214,0,Bolyhos Pálinka Kft.,Bolyhos Pálinka Kft.,1000015,0,26493710-2-13,13-09-194847,AA2649371,False,True,False,False,1005833.0,False,1033697,2021-08-31T06:20:26.803349,False,[],Cég,1021826,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:14.550429,35457684,0,S06308,1001997,Bicskei,1005741,34,,,,,,0,2768,Újszilvás,1001210,1001997,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002795,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"2768 Újszilvás, Bicskei út 34",1237089,1019477,2022-09-15T18:12:41,33451787,,,,,,,,,,
Bonduelle Central Europe Kft.,1021827,1237091,True,True,True,13100007-02026440-00183480,1005863,False,False,1237092,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:58.941635,36374215,0,Bonduelle Central Europe Kft.,Bonduelle Central Europe Kft.,1000016,0,10766299-2-44,13-09-067330,AA0090469,False,True,False,False,1005833.0,False,1033703,2021-08-31T06:20:26.803349,False,[],Cég,1021827,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:14.775658,35457688,0,S00149,1001987,Ceglédi,1005741,25,,,,,,0,2750,Nagykőrös,1001210,1001987,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002785,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"2750 Nagykőrös, Ceglédi út 25",1237091,1019477,2022-09-15T18:12:41,33451788,,,,,,,,,,
Borok Világa Kft.,1021828,1237093,True,True,True,11600006-00000000-18991323,1006656,False,False,1237094,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:59.168632,36374216,0,Borok Világa Kft.,Borok Világa Kft.,1000017,0,12858903-2-42,01-09-706890,AA0501354,False,True,False,False,1005833.0,False,1033707,2021-08-31T06:20:26.803349,False,[],Cég,1021828,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:15.057416,35457831,0,S00980,1001485,Dohány,1005743,58-62,,,,,,0,1074,Budapest,1001210,1001485,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002283,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1074 Budapest, Dohány utca 58-62",1237093,1019477,2022-09-15T18:12:41,33451789,,,,,,,,,,
Borsodi Sörgyár Kft.,1021829,1237095,True,True,True,10800007-00000000-14145001,1005347,False,False,1237096,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:59.402298,36374217,0,Borsodi Sörgyár Kft.,Borsodi Sörgyár Kft.,1000018,0,14981140-2-05,05-09-019849,AA0258689,False,True,False,False,1005833.0,False,1033715,2022-01-28T09:48:53.737253,False,[],Cég,1021829,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:15.292365,35457858,0,S01895,1002394,Rákóczi,1005741,81,,,,,,0,3574,Bőcs,1001210,1002394,0,2022-09-13T14:59:32,0,2022-09-13T14:59:32,1003192,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"3574 Bőcs, Rákóczi út 81",1237095,1019477,2022-09-15T18:12:41,33451790,,,,,,,,,,
Bunge ZRt.,1021830,1237097,True,True,True,10800007-37797001,1006882,False,False,1237098,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:59.684913,36374218,0,Bunge ZRt.,Bunge ZRt.,1000019,0,10783830-2-44,01-10-041976,AA0090829,False,True,False,False,1005833.0,False,1033731,2021-08-31T06:20:26.803349,False,[],Cég,1021830,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:15.530311,35457864,0,S00401,1001533,Váci,1005741,43,,,,,,0,1134,Budapest,1001210,1001533,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002331,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1134 Budapest, Váci út 43",1237097,1019477,2022-09-15T18:12:41,33451791,,,,,,,,,,
Candimpex Csoki Kft.,1021831,1237099,True,True,True,11703006-25957404,1005442,False,False,1237100,1019477,2022-09-15T18:12:41,1019477,2025-04-01T13:25:59.926147,36374219,0,Candimpex Csoki Kft.,Candimpex Csoki Kft.,1000020,0,24348951-2-13,13-09-164106,AA2804015,False,True,False,False,1005833.0,False,1033737,2021-11-12T11:45:52.549587,False,[],Cég,1021831,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:15.779615,35457867,0,S07713,1001704,Kossuth,1005741,103,,,,,,0,2161,Csomád,1001210,1001704,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002502,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"2161 Csomád, Kossuth út 103",1237099,1019477,2022-09-15T18:12:41,33451792,,,,,,,,,,
Cardex Európa Kft.,1021832,1237101,True,True,True,11600006-00000000-79556873,1006565,False,False,1237102,1019477,2022-09-15T18:12:42,1019477,2025-04-01T13:26:00.182756,36374220,0,Cardex Európa Kft.,Cardex Európa Kft.,1000021,0,13647500-2-41,01-09-866055,,False,True,False,False,1005833.0,False,1033741,2021-08-31T06:20:26.803349,False,[],Cég,1021832,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:16.040347,35457907,0,S00985,1001457,Bécsi,1005741,267,,,,,,0,1037,Budapest,1001210,1001457,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002255,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1037 Budapest, Bécsi út 267",1237101,1019477,2022-09-15T18:12:42,33451793,,,,,,,,,,
Carlsberg Hungary,1021833,1237103,True,True,True,13100007-02507800-00893480,1005399,False,False,1237104,1019477,2022-09-15T18:12:42,1019477,2025-04-01T13:26:00.456235,36374221,0,Carlsberg Hungary,Carlsberg Hungary,1000022,0,13136859-2-44,13-09-099612,AA0149442,False,True,False,False,1005833.0,False,1033743,2022-01-28T09:49:13.666327,False,[],Cég,1021833,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:16.287968,35457990,0,S04276,1001626,Neumann János,1005743,3,,,,,,0,2040,Budaörs,1001210,1001626,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002424,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2040 Budaörs, Neumann János utca 3",1237103,1019477,2022-09-15T18:12:42,33451794,,,,,,,,,,
CBA Kereskedelmi Kft.,1021834,1237105,True,True,True,12001008-00284349-00100005,1000098,False,False,1237106,1019477,2022-09-15T18:12:42,1019477,2024-06-12T07:00:07.293476,35457995,0,CBA Kereskedelmi Kft.,CBA Kereskedelmi Kft.,1000023,0,10986772-2-13,13 09 104542,AA0059813,False,True,False,False,1005833.0,False,1033747,2021-08-31T06:20:26.803349,False,[],Cég,1021834,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:16.553266,35457994,0,S00212,1001782,2402/1,1005648,,,,,,2402/1,0,2351,Alsónémedi,1001210,1001782,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002580,0,hrsz.,999,1005648,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006446,0,"2351 Alsónémedi, 2402/1 hrsz. ",1237105,1019477,2022-09-15T18:12:42,33451795,,,Kovács Marianna,06 1/234-5678,marianna.kovacs@cba.hu,,,,,
Ceres Sütőipari Zártkörűen Működő Részvénytársaság (Ceres Zrt.),1021835,1237107,True,True,True,10800007-90000000-12351003,1007220,False,False,1237108,1019477,2022-09-15T18:12:42,1019477,2025-04-01T13:26:00.695679,36374222,0,Ceres Sütőipari Zártkörűen Működő Részvénytársaság (Ceres Zrt.),Ceres Sütőipari Zártkörűen Működő Részvénytársaság (Ceres Zrt.),1000024,0,13597821-2-08,08-10-001793,AA0066631,False,True,False,False,1005833.0,False,1033753,2021-11-08T13:51:12.308188,False,[],Cég,1021835,1019477,2022-09-15T11:58:50,1019477,2025-03-14T15:10:16.821931,35458004,0,S00986,1005053,Reptéri,1005741,1,,,,,,0,9027,Győr,1001210,1005053,0,2022-09-13T14:59:36,0,2022-09-13T14:59:36,1005851,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"9027 Győr, Reptéri út 1",1237107,1019477,2022-09-15T18:12:42,33451796,,,,,,,,,,
Cleaneco Kft.,1021836,1237109,True,True,True,12001008-00152763-00100001,1006693,False,False,1237110,1019477,2022-09-15T18:12:42,1019477,2025-04-01T13:26:00.967114,36374223,0,Cleaneco Kft.,Cleaneco Kft.,1000025,0,23364488-2-41,01-09-962118,,False,True,False,False,1005833.0,False,1033771,2021-08-31T06:20:26.803349,False,[],Cég,1021836,1019477,2022-09-15T11:58:51,1019477,2025-03-14T15:10:17.062238,35458007,0,S01702,1001503,Soroksári,1005741,150,,,,,,0,1095,Budapest,1001210,1001503,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002301,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1095 Budapest, Soroksári út 150",1237109,1019477,2022-09-15T18:12:42,33451797,,,,,,,,,,
Coca-Cola HBC Magyarország Kft.,1021837,1237111,True,False,False,,1007175,True,False,1237112,1019477,2022-09-15T18:12:42,1019477,2025-04-01T13:26:01.297498,36374224,0,Coca-Cola HBC Magyarország Kft.,Coca-Cola HBC Magyarország Kft.,1000026,0,10886861-2-44,13-09-067506,AA0031105,False,True,False,False,,False,1033773,2024-11-18T11:31:56.276472,True,[],Cég,1021837,1019477,2022-09-15T11:58:51,1019477,2025-03-14T15:10:17.288027,35458013,0,,1001768,Némedi,1005741,104,,,,,,0,2330,Dunaharaszti,1001210,1001768,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002566,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"2330 Dunaharaszti, Némedi út 104",1237111,1019477,2022-09-15T18:12:42,33451798,2025-03-17T21:17:16.599104,,,,,,,,,
Csíki Sör Magyarország Kft.,1021838,1237113,True,True,True,11794008-21067965,1006610,False,False,1237114,1019477,2022-09-15T18:12:43,1019477,2025-04-01T13:26:01.590049,36374225,0,Csíki Sör Magyarország Kft.,Csíki Sör Magyarország Kft.,1000027,0,25471188-2-41,01-09-277103,AA5639856,False,True,False,False,1005833.0,False,1033795,2022-12-23T08:28:45.336055,False,[],Cég,1021838,1019477,2022-09-15T11:58:51,1019477,2025-03-14T15:10:18.477502,35467566,0,S05727,1001468,Bajcsy-Zsilinszky,1005741,12,,,,,,0,1051,Budapest,1001210,1001468,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002266,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1051 Budapest, Bajcsy-Zsilinszky út 12",1237113,1019477,2022-09-15T18:12:43,33451799,,,,,,,,,,
Csom 2001 Kft.,1021839,1237115,True,True,True,10400188-50526890-78881001,1007009,False,False,1237116,1019477,2022-09-15T18:12:43,1019477,2025-04-01T13:26:01.808271,36374226,0,Csom 2001 Kft.,Csom 2001 Kft.,1000028,0,12743586-2-43,01-09-701317,,False,True,False,False,1005833.0,False,1033803,2022-12-23T08:25:51.064397,False,[],Cég,1021839,1019477,2022-09-15T11:58:51,1019477,2025-03-14T15:10:18.721826,35467623,0,S00444,1001565,Zádor,1005743,16,,,,,,0,1181,Budapest,1001210,1001565,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002363,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1181 Budapest, Zádor utca 16",1237115,1019477,2022-09-15T18:12:43,33451800,,,,,,,,,,
Csongrádbor Kft.,1021840,1237117,True,True,True,10402836-28311502,1007117,False,False,1237118,1019477,2022-09-15T18:12:43,1019477,2025-04-01T13:26:02.116505,36374227,0,Csongrádbor Kft.,Csongrádbor Kft.,1000029,0,11094346-2-06,06-09-003265,AA0142557,False,True,False,False,1005833.0,False,1033805,2021-08-31T06:20:26.803349,False,[],Cég,1021840,1019477,2022-09-15T11:58:51,1019477,2025-03-14T15:10:18.943429,35467634,0,S00099,1003509,Aradi,1005743,14,,,,,,0,6640,Csongrád,1001210,1003509,0,2022-09-13T14:59:34,0,2022-09-13T14:59:34,1004307,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"6640 Csongrád, Aradi utca 14",1237117,1019477,2022-09-15T18:12:43,33451801,,,,,,,,,,
